Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,PLOdds,OpenOU,OpenOdds,CloseOU,CloseOdds
1016,10,H,Boston,1,0,2,3,-170,-180,-1.5,140,5.5,-135,5.5,-130
1016,11,V,SeattleKraken,0,1,0,1,-105,-115,-1.5,220,5.5,-120,5.5,-120
1016,12,H,Columbus,0,0,1,2,-115,105,1.5,-250,5.5,100,5.5,100
1016,13,V,Ottawa,0,1,0,1,190,220,1.5,-115,6,-115,6,-120
1016,14,H,Toronto,2,0,1,3,-235,-250,-1.5,-105,6,-105,6,100
1016,15,V,Chicago,0,1,1,2,160,120,1.5,-190,6,-120,6,-110
1016,16,H,Pittsburgh,4,1,0,5,-190,-130,-1.5,170,6,100,6,-110
1016,17,V,Vancouver,0,1,0,1,-115,-120,-1.5,200,5.5,-115,5.5,-110
1016,18,H,Detroit,1,1,1,3,-105,110,1.5,-230,5.5,-105,5.5,-110
1016,19,V,Carolina,1,0,2,3,-105,-113,-1.5,220,5.5,-125,5.5,-120
1016,20,H,Nashville,0,1,1,2,-115,103,1.5,-250,5.5,105,5.5,100
1016,21,V,St.Louis,1,2,2,5,150,130,1.5,-180,5.5,-120,5.5,-120
1016,22,H,Colorado,0,1,2,3,-180,-140,-1.5,160,5.5,100,5.5,100
1016,23,V,Calgary,0,1,1,2,120,135,1.5,-180,6.5,-110,6,-115
1016,24,H,Edmonton,2,1,2,5,-140,-150,-1.5,160,6.5,-110,6,-105
1016,25,V,Winnipeg,1,1,1,3,-120,-130,-1.5,185,6.5,105,6.5,105
1016,26,H,SanJose,0,2,2,4,100,120,1.5,-210,6.5,-125,6.5,-125
1016,27,V,Minnesota,0,3,0,3,-145,-114,-1.5,200,5.5,-105,6,100
1016,28,H,LosAngeles,0,1,1,2,125,104,1.5,-230,5.5,-115,6,-120
1017,29,V,Dallas,1,0,1,2,557,-135,-1.5,180,5.5,-115,5.5,110
1017,30,H,Ottawa,1,2,0,3,-181,125,1.5,-205,5.5,-105,5.5,-130
1018,31,V,NYRangers,1,0,0,2,155,160,1.5,-150,6,-115,6,-120
1018,32,H,Toronto,0,1,0,1,-185,-180,-1.5,130,6,-105,6,100
1018,33,V,SeattleKraken,0,1,0,1,135,123,1.5,-185,6,100,5.5,-125
1018,34,H,Philadelphia,3,2,1,6,-160,-133,-1.5,165,6,-120,5.5,105
1018,35,V,Anaheim,1,0,1,3,145,170,1.5,-150,5.5,-115,5.5,-105
1018,36,H,Calgary,1,1,0,2,-170,-190,-1.5,130,5.5,-105,5.5,-115
1018,37,V,St.Louis,1,5,1,7,-140,-176,-1.5,155,5.5,-125,5.5,-105
1018,38,H,Arizona,1,1,2,4,120,158,1.5,-175,5.5,105,5.5,-115
1019,39,V,Dallas,1,0,0,2,115,113,1.5,-220,5.5,-135,5.5,-110
1019,40,H,Pittsburgh,0,1,0,1,-135,-123,-1.5,195,5.5,110,5.5,-110
1019,41,V,SanJose,3,1,1,5,115,140,1.5,-180,5.5,-120,6,100
1019,42,H,Montreal,0,0,0,0,-135,-155,-1.5,160,5.5,100,6,-120
1019,43,V,SeattleKraken,0,1,1,2,125,132,1.5,-185,5.5,-125,5.5,-120
1019,44,H,NewJersey,2,1,1,4,-145,-145,-1.5,165,5.5,105,5.5,100
1019,45,V,Vancouver,2,0,0,2,-130,-151,-1.5,175,6,-110,6,100
1019,46,H,Buffalo,1,1,3,5,110,136,1.5,-195,6,-110,6,-120
1019,47,V,Florida,0,1,3,4,120,100,1.5,-220,6.5,100,6,-120
1019,48,H,TampaBay,0,0,1,1,-140,-110,-1.5,195,6.5,-120,6,100
1019,49,V,Colorado,1,1,1,3,110,-123,-1.5,205,6,-115,6,-115
1019,50,H,Washington,2,2,2,6,-130,113,1.5,-235,6,-105,6,-105
1019,51,V,Columbus,0,0,1,1,105,110,1.5,-230,6,-115,5.5,100
1019,52,H,Detroit,0,0,4,4,-125,-120,-1.5,200,6,-105,5.5,-120
1019,53,V,Winnipeg,2,1,2,5,130,135,1.5,-185,5.5,100,5.5,-120
1019,54,H,Minnesota,2,1,2,6,-150,-150,-1.5,165,5.5,-120,5.5,100
1019,55,V,LosAngeles,0,1,0,1,125,120,1.5,-200,5.5,-115,5.5,110
1019,56,H,Nashville,0,0,2,2,-145,-130,-1.5,175,5.5,-105,5.5,-135
1019,57,V,NYIslanders,0,1,3,4,-115,-112,-1.5,215,5.5,-135,5.5,-120
1019,58,H,Chicago,0,0,1,1,-105,102,1.5,-245,5.5,110,5.5,100
1019,59,V,Anaheim,2,2,1,5,185,245,1.5,-110,5.5,-110,6,-110
1019,60,H,Edmonton,3,0,3,6,-225,-280,-1.5,-110,5.5,-110,6,-110
1020,61,V,Boston,1,2,0,3,-125,-132,-1.5,185,5.5,-120,5.5,-125
1020,62,H,Philadelphia,2,1,3,6,105,122,1.5,-210,5.5,100,5.5,105
1020,63,V,St.Louis,0,1,2,3,120,110,1.5,-220,5.5,-120,5.5,-125
1020,64,H,Vegas,1,0,0,1,-140,-120,-1.5,195,5.5,100,5.5,105
1021,65,V,NYIslanders,0,1,1,2,-135,-142,-1.5,175,5.5,-120,5.5,110
1021,66,H,Columbus,0,2,0,3,115,131,1.5,-200,5.5,100,5.5,-135
1021,67,V,Washington,2,1,1,4,-135,-129,-1.5,185,6.5,100,6,-120
1021,68,H,NewJersey,0,0,1,1,115,119,1.5,-210,6.5,-120,6,100
1021,69,V,Colorado,1,0,0,1,100,113,1.5,-215,6.5,-115,6.5,-135
1021,70,H,Florida,1,2,1,4,-120,-123,-1.5,190,6.5,-105,6.5,115
1021,71,V,SanJose,0,2,0,2,-105,-110,1.5,-255,6,-105,6,-105
1021,72,H,Ottawa,1,0,0,1,-115,100,-1.5,225,6,-115,6,-115
1021,73,V,Carolina,0,2,2,4,-115,-126,-1.5,185,6,100,5.5,-120
1021,74,H,Montreal,0,1,0,1,-105,116,1.5,-210,6,-120,5.5,100
1021,75,V,Calgary,2,0,1,3,-125,-129,-1.5,190,6,-110,5.5,-115
1021,76,H,Detroit,0,0,0,0,105,119,1.5,-215,6,-110,5.5,-105
1021,77,V,NYRangers,1,0,2,3,-110,105,1.5,-240,5.5,-135,5.5,-115
1021,78,H,Nashville,0,1,0,1,-110,-115,-1.5,210,5.5,110,5.5,-105
1021,79,V,Anaheim,1,0,0,1,160,155,1.5,-165,5.5,-115,5.5,-110
1021,80,H,Winnipeg,1,1,3,5,-190,-170,-1.5,145,5.5,-105,5.5,-110
1021,81,V,Vancouver,1,2,1,4,105,116,1.5,-205,6,-115,6.5,-105
1021,82,H,Chicago,1,0,0,1,-125,-126,-1.5,180,6,-105,6.5,-115
1021,83,V,Edmonton,1,2,2,5,-190,-200,-1.5,130,6,-105,6,-125
1021,84,H,Arizona,0,0,1,1,160,180,1.5,-150,6,-115,6,105
1022,1,V,SanJose,0,3,2,5,160,210,1.5,-120,6,-120,6,-135
1022,2,H,Toronto,0,2,1,3,-190,-240,-1.5,100,6,100,6,110
1022,3,V,Boston,2,1,1,4,-180,-220,-1.5,120,6,-115,6,100
1022,4,H,Buffalo,0,0,1,1,150,200,1.5,-140,6,-105,6,-120
1022,5,V,LosAngeles,1,1,0,2,130,140,1.5,-175,5.5,-120,5.5,115
1022,6,H,Dallas,1,0,1,3,-150,-155,-1.5,155,5.5,100,5.5,-135
1022,7,V,Edmonton,1,2,2,5,125,112,1.5,-210,6.5,100,6.5,100
1022,8,H,Vegas,1,1,1,3,-145,-122,-1.5,185,6.5,-120,6.5,-120
1023,9,V,NYRangers,0,0,3,3,-150,-130,-1.5,175,6,100,6,-105
1023,10,H,Ottawa,1,0,1,2,130,120,1.5,-200,6,-120,6,-115
1023,11,V,Calgary,3,0,0,4,140,134,1.5,-170,6.5,100,6,-105
1023,12,H,Washington,0,3,0,3,-165,-148,-1.5,150,6.5,-120,6,-115
1023,13,V,Anaheim,2,1,0,3,225,205,1.5,-125,5.5,-125,5.5,-110
1023,14,H,Minnesota,2,1,0,4,-275,-230,-1.5,105,5.5,105,5.5,-110
1023,15,V,Colorado,1,1,1,4,100,-102,1.5,-300,6,-125,6,-110
1023,16,H,TampaBay,0,1,2,3,-120,-108,-1.5,250,6,105,6,-110
1023,17,V,Toronto,1,0,0,1,-125,-165,-1.5,160,6.5,-105,6,100
1023,18,H,Pittsburgh,1,4,2,7,105,150,1.5,-180,6.5,-115,6,-120
1023,19,V,Carolina,2,1,2,5,-150,-145,-1.5,165,5.5,-115,5.5,-110
1023,20,H,Columbus,0,1,0,1,130,132,1.5,-185,5.5,-105,5.5,-110
1023,21,V,Florida,1,1,2,4,-115,-140,-1.5,170,6.5,-110,6.5,100
1023,22,H,Philadelphia,0,2,0,2,-105,130,1.5,-190,6.5,-110,6.5,-120
1023,23,V,Nashville,1,1,2,4,110,114,1.5,-220,5.5,-135,5.5,-120
1023,24,H,Winnipeg,1,3,2,6,-130,-124,-1.5,195,5.5,110,5.5,100
1023,25,V,Buffalo,1,0,0,1,145,160,1.5,-160,6.5,-105,6,-110
1023,26,H,NewJersey,0,0,1,2,-170,-180,-1.5,140,6.5,-115,6,-110
1023,27,V,Detroit,1,0,0,1,135,150,1.5,-170,5.5,-120,5.5,100
1023,28,H,Montreal,2,3,1,6,-160,-165,-1.5,150,5.5,100,5.5,-120
1023,29,V,LosAngeles,1,0,2,3,145,150,1.5,-165,5.5,-120,5.5,-105
1023,30,H,St.Louis,2,3,2,7,-170,-165,-1.5,145,5.5,100,5.5,-115
1023,31,V,NYIslanders,1,1,1,3,-165,-195,-1.5,140,5.5,-115,5.5,100
1023,32,H,Arizona,0,0,0,0,140,175,1.5,-160,5.5,-105,5.5,-120
1023,33,V,Vancouver,0,1,3,4,-105,124,1.5,-205,6,100,6,100
1023,34,H,SeattleKraken,1,0,1,2,-115,-134,-1.5,180,6,-120,6,-120
1024,35,V,SanJose,1,0,2,3,155,200,1.5,-130,6,-110,5.5,-120
1024,36,H,Boston,3,1,0,4,-185,-220,-1.5,110,6,-110,5.5,100
1024,37,V,Nashville,3,2,0,5,135,160,1.5,-155,5.5,-120,5.5,-115
1024,38,H,Minnesota,0,2,0,2,-160,-180,-1.5,135,5.5,100,5.5,-105
1024,39,V,Detroit,1,4,1,6,130,140,1.5,-175,6,-105,5.5,-115
1024,40,H,Chicago,1,1,1,3,-150,-155,-1.5,155,6,-115,5.5,-105
1024,41,V,NYIslanders,1,0,1,2,120,113,1.5,-210,5.5,-110,5.5,-105
1024,42,H,Vegas,0,0,0,0,-140,-123,-1.5,185,5.5,-110,5.5,-115
1025,43,V,Dallas,0,0,1,1,-130,-125,-1.5,195,5.5,100,5.5,120
1025,44,H,Columbus,1,1,2,4,110,115,1.5,-220,5.5,-120,5.5,-140
1025,45,V,Calgary,1,1,3,5,120,128,1.5,-190,5.5,-125,5.5,100
1025,46,H,NYRangers,0,0,1,1,-140,-138,-1.5,170,5.5,105,5.5,-120
1025,47,V,Arizona,1,0,2,3,260,330,1.5,135,6,-115,6,-115
1025,48,H,Florida,1,2,2,5,-320,-400,-1.5,-155,6,-105,6,-105
1025,49,V,Toronto,1,0,0,1,-110,105,-1.5,260,6,-110,6,-115
1025,50,H,Carolina,0,3,1,4,-110,-115,1.5,-310,6,-110,6,-105
1025,51,V,Washington,4,2,1,7,-165,-150,-1.5,155,6.5,-110,6,-120
1025,52,H,Ottawa,1,3,1,5,140,135,1.5,-175,6.5,-110,6,100
1025,53,V,TampaBay,1,0,0,1,-195,-165,-1.5,145,6,-115,6,-110
1025,54,H,Buffalo,1,1,3,5,165,150,1.5,-165,6,-105,6,-110
1025,55,V,LosAngeles,0,0,0,0,150,157,1.5,-150,6,-110,5.5,-135
1025,56,H,St.Louis,0,0,3,3,-180,-174,-1.5,130,6,-110,5.5,110
1026,57,V,TampaBay,0,3,2,5,-140,-120,-1.5,180,6.5,100,5.5,100
1026,58,H,Pittsburgh,0,0,1,1,120,110,1.5,-205,6.5,-120,5.5,-120
1026,59,V,Calgary,4,0,1,5,-110,105,1.5,-240,6,-110,6,100
1026,60,H,NewJersey,0,1,2,3,-110,-115,-1.5,210,6,-110,6,-120
1026,61,V,Vegas,2,0,1,3,145,160,1.5,-150,6,-120,6,100
1026,62,H,Colorado,0,1,0,1,-170,-180,-1.5,130,6,100,6,-120
1026,63,V,SanJose,0,0,1,1,115,122,1.5,-200,6,-110,6,100
1026,64,H,Nashville,1,1,1,3,-135,-132,-1.5,175,6,-110,6,-120
1026,65,V,Minnesota,1,1,1,3,-110,-115,-1.5,200,5.5,-125,6,-105
1026,66,H,Vancouver,0,1,1,2,-110,105,1.5,-230,5.5,105,6,-115
1026,67,V,Montreal,1,0,0,1,100,113,1.5,-230,5.5,-120,5.5,-110
1026,68,H,SeattleKraken,2,2,1,5,-120,-123,-1.5,200,5.5,100,5.5,-110
1026,69,V,Winnipeg,0,1,3,4,-145,-133,-1.5,185,5.5,-125,5.5,-115
1026,70,H,Anaheim,0,1,2,3,125,123,1.5,-210,5.5,105,5.5,-105
1027,71,V,Detroit,0,1,1,3,165,186,1.5,-125,6.5,-105,6.5,-105
1027,72,H,Washington,1,1,0,2,-195,-206,-1.5,105,6.5,-115,6.5,-115
1027,73,V,Boston,1,0,0,1,100,119,1.5,-210,6,100,5.5,-125
1027,74,H,Florida,1,1,2,4,-120,-129,-1.5,185,6,-120,5.5,105
1027,75,V,Toronto,0,1,1,3,-150,-206,-1.5,115,6.5,-110,6,-120
1027,76,H,Chicago,2,0,0,2,130,186,1.5,-135,6.5,-110,6,100
1027,77,V,Vegas,1,0,1,3,-105,147,1.5,-180,5.5,-110,5.5,110
1027,78,H,Dallas,1,1,0,2,-115,-162,-1.5,160,5.5,-110,5.5,-130
1027,79,V,Philadelphia,3,0,2,5,140,175,1.5,-140,6.5,-115,6.5,-130
1027,80,H,Edmonton,2,1,0,3,-165,-195,-1.5,120,6.5,-105,6.5,110
1028,1,V,Calgary,1,0,3,4,100,-104,1.5,-250,6,-110,5.5,-115
1028,2,H,Pittsburgh,0,0,0,0,-120,-106,-1.5,220,6,-110,5.5,-105
1028,3,V,Boston,0,0,0,0,110,121,1.5,-200,5.5,-125,5.5,-115
1028,4,H,Carolina,1,1,1,3,-130,-131,-1.5,175,5.5,105,5.5,-105
1028,5,V,Arizona,0,0,1,1,235,285,1.5,115,5.5,-110,5.5,-120
1028,6,H,TampaBay,3,1,1,5,-290,-330,-1.5,-135,5.5,-110,5.5,100
1028,7,V,Colorado,1,2,1,4,-120,-110,-1.5,210,6,-120,6,-105
1028,8,H,St.Louis,1,0,2,3,100,100,1.5,-240,6,100,6,-115
1028,9,V,Buffalo,1,2,0,4,110,116,1.5,-205,5.5,-115,5.5,-110
1028,10,H,Anaheim,0,2,1,3,-130,-126,-1.5,180,5.5,-105,5.5,-110
1028,11,V,Minnesota,1,0,0,1,-130,-105,-1.5,210,6,-105,5.5,-120
1028,12,H,SeattleKraken,1,1,2,4,110,-105,1.5,-240,6,-115,5.5,100
1028,13,V,Philadelphia,2,0,0,2,-105,127,1.5,-200,6,-110,6,-130
1028,14,H,Vancouver,1,0,0,1,-115,-137,-1.5,175,6,-110,6,110
1028,15,V,Montreal,1,2,1,4,115,116,1.5,-210,5.5,-125,5.5,-120
1028,16,H,SanJose,0,0,0,0,-135,-126,-1.5,185,5.5,105,5.5,100
1028,17,V,Winnipeg,1,0,2,3,-115,110,-1.5,235,5.5,-115,5.5,-125
1028,18,H,LosAngeles,1,1,0,2,-105,-120,1.5,-270,5.5,-105,5.5,105
1029,19,V,Columbus,0,0,0,0,125,166,1.5,-160,5.5,-115,5.5,105
1029,20,H,NYRangers,2,0,2,4,-145,-186,-1.5,140,5.5,-105,5.5,-125
1029,21,V,Arizona,0,0,0,0,250,280,1.5,110,6,-120,6,-115
1029,22,H,Washington,0,0,2,2,-310,-320,-1.5,-130,6,100,6,-105
1029,23,V,Chicago,2,0,1,3,165,190,1.5,-135,5.5,-125,6,-105
1029,24,H,Carolina,4,2,0,6,-195,-210,-1.5,115,5.5,105,6,-115
1029,25,V,Florida,2,0,0,3,-180,-176,-1.5,140,6,-105,6,-110
1029,26,H,Detroit,0,1,1,2,150,158,1.5,-160,6,-115,6,-110
1029,27,V,Anaheim,0,1,3,4,210,200,1.5,-135,6,-105,5.5,-105
1029,28,H,Vegas,1,1,2,5,-260,-220,-1.5,115,6,-115,5.5,-115
1029,29,V,Ottawa,2,1,1,4,145,166,1.5,-160,5.5,-115,5.5,-110
1029,30,H,Dallas,0,1,0,1,-170,-186,-1.5,140,5.5,-105,5.5,-110
1030,31,V,NYIslanders,1,1,0,2,-110,-112,-1.5,220,5.5,-110,5.5,110
1030,32,H,Nashville,0,1,1,3,-110,102,1.5,-250,5.5,-110,5.5,-130
1030,33,V,Montreal,1,0,1,2,105,100,1.5,-240,5.5,-125,5.5,100
1030,34,H,LosAngeles,0,2,3,5,-125,-110,-1.5,210,5.5,105,5.5,-120
1030,35,V,Winnipeg,0,0,1,1,-110,-132,-1.5,200,6,-110,6,100
1030,36,H,SanJose,0,1,0,2,-110,122,1.5,-225,6,-110,6,-120
1030,37,V,NewJersey,1,1,2,4,130,140,1.5,-180,6,-110,6,-110
1030,38,H,Pittsburgh,1,0,1,2,-150,-155,-1.5,160,6,-110,6,-110
1030,39,V,Detroit,0,1,3,4,205,250,1.5,105,6,-120,6,100
1030,40,H,Toronto,1,1,3,5,-255,-290,-1.5,-125,6,100,6,-120
1030,41,V,Florida,0,1,1,2,105,130,1.5,-190,6,-110,6,105
1030,42,H,Boston,1,0,1,3,-125,-141,-1.5,170,6,-110,6,-125
1030,43,V,Chicago,0,0,0,0,150,180,1.5,-135,6,-115,6,105
1030,44,H,St.Louis,0,0,1,1,-180,-200,-1.5,115,6,-105,6,-125
1030,45,V,Minnesota,0,1,0,1,145,140,1.5,-170,6,-110,6,100
1030,46,H,Colorado,1,1,2,4,-170,-155,-1.5,150,6,-110,6,-120
1030,47,V,Philadelphia,0,0,0,0,125,137,1.5,-180,6,-110,6,-115
1030,48,H,Calgary,0,1,3,4,-145,-152,-1.5,160,6,-110,6,-105
1030,49,V,Edmonton,1,1,0,2,-145,-123,-1.5,175,6.5,100,6.5,-120
1030,50,H,Vancouver,0,0,1,1,125,113,1.5,-200,6.5,-120,6.5,100
1031,51,V,Arizona,1,0,0,1,250,285,1.5,115,6,-115,5.5,-125
1031,52,H,Carolina,0,1,1,2,-310,-330,-1.5,-135,6,-105,5.5,105
1031,53,V,Buffalo,0,2,0,2,115,115,1.5,-220,5.5,-115,5.5,-115
1031,54,H,LosAngeles,0,1,2,3,-135,-125,-1.5,195,5.5,-105,5.5,-105
1031,55,V,Montreal,1,1,0,2,-120,105,1.5,-245,5.5,-125,5.5,-110
1031,56,H,Anaheim,2,0,2,4,100,-115,-1.5,215,5.5,105,5.5,-110
1031,57,V,Columbus,2,0,1,4,-105,120,1.5,-210,6,-110,5.5,-115
1031,58,H,NewJersey,1,2,0,3,-115,-130,-1.5,185,6,-110,5.5,-105
1031,59,V,NYRangers,1,0,2,3,-115,-114,-1.5,210,6,-105,5.5,105
1031,60,H,SeattleKraken,0,1,0,1,-105,104,1.5,-240,6,-115,5.5,-125
1101,61,V,Washington,1,0,1,2,120,125,1.5,-190,6,100,5.5,-120
1101,62,H,TampaBay,0,2,1,3,-140,-135,-1.5,170,6,-120,5.5,100
1101,63,V,Ottawa,0,0,1,1,115,128,1.5,-200,6,-110,6,-110
1101,64,H,Chicago,1,1,3,5,-135,-138,-1.5,175,6,-110,6,-110
1101,65,V,SeattleKraken,1,1,0,2,175,210,1.5,-120,6.5,-110,6.5,100
1101,66,H,Edmonton,2,1,2,5,-210,-240,-1.5,100,6.5,-110,6.5,-120
1102,67,V,Arizona,0,0,0,0,170,205,1.5,-130,5.5,-115,5.5,-105
1102,68,H,Philadelphia,0,0,3,3,-200,-230,-1.5,110,5.5,-105,5.5,-115
1102,69,V,Vegas,0,0,0,0,145,180,1.5,-155,6,-110,5.5,-120
1102,70,H,Toronto,1,2,1,4,-170,-200,-1.5,135,6,-110,5.5,100
1102,71,V,Detroit,0,0,0,0,125,130,1.5,-190,5.5,-110,5.5,100
1102,72,H,Montreal,2,0,1,3,-145,-140,-1.5,170,5.5,-110,5.5,-120
1102,73,V,Dallas,1,0,2,3,110,-105,-1.5,220,5.5,-115,5.5,-115
1102,74,H,Winnipeg,1,2,0,4,-130,-105,1.5,-250,5.5,-105,5.5,-105
1102,75,V,Ottawa,1,3,0,4,170,180,1.5,-135,5.5,-120,5.5,-120
1102,76,H,Minnesota,3,1,0,5,-200,-200,-1.5,115,5.5,100,5.5,100
1102,77,V,Nashville,2,0,0,3,120,135,1.5,-185,6,100,5.5,-105
1102,78,H,Calgary,1,0,1,2,-140,-150,-1.5,165,6,-120,5.5,-115
1102,79,V,NYRangers,0,2,0,2,-115,-120,-1.5,200,5.5,-105,5.5,105
1102,80,H,Vancouver,0,0,2,3,-105,110,1.5,-230,5.5,-115,5.5,-125
1102,81,V,NewJersey,0,0,0,0,-110,-125,-1.5,195,5.5,-115,5.5,-110
1102,82,H,Anaheim,1,1,2,4,-110,115,1.5,-220,5.5,-105,5.5,-110
1102,83,V,Buffalo,1,1,1,3,145,132,1.5,-185,6,-110,5.5,-105
1102,84,H,SanJose,2,1,2,5,-170,-145,-1.5,165,6,-110,5.5,-115
1103,1,V,Carolina,1,1,2,4,-145,-154,-1.5,160,5.5,-120,6,-110
1103,2,H,Chicago,1,2,0,3,125,139,1.5,-180,5.5,100,6,-110
1103,3,V,Nashville,1,0,1,2,155,200,1.5,-125,6,-110,6,-120
1103,4,H,Edmonton,1,1,3,5,-185,-220,-1.5,105,6,-110,6,100
1103,5,V,Columbus,0,1,3,5,195,160,1.5,-155,5.5,-110,5.5,-115
1103,6,H,Colorado,0,2,2,4,-245,-180,-1.5,135,5.5,-110,5.5,-105
1103,7,V,St.Louis,0,1,1,2,-125,-140,-1.5,175,5.5,-110,5.5,-115
1103,8,H,LosAngeles,0,0,2,3,105,130,1.5,-200,5.5,-110,5.5,-105
1104,9,V,NYIslanders,1,4,1,6,-140,-129,-1.5,200,5.5,-110,5.5,115
1104,10,H,Montreal,0,0,2,2,120,119,1.5,-230,5.5,-110,5.5,-135
1104,11,V,Vegas,0,3,2,5,-135,-117,-1.5,210,6,-110,5.5,-115
1104,12,H,Ottawa,0,1,0,1,115,107,1.5,-240,6,-110,5.5,-105
1104,13,V,TampaBay,1,0,0,1,100,126,1.5,-200,6.5,-105,5.5,-115
1104,14,H,Toronto,0,0,1,2,-120,-136,-1.5,175,6.5,-115,5.5,-105
1104,15,V,Philadelphia,0,1,1,2,115,116,1.5,-205,6,-115,6,-105
1104,16,H,Pittsburgh,1,1,0,3,-135,-126,-1.5,180,6,-105,6,-115
1104,17,V,Detroit,0,0,1,1,205,230,1.5,-110,5.5,-115,5.5,-105
1104,18,H,Boston,1,2,2,5,-255,-260,-1.5,-110,5.5,-105,5.5,-115
1104,19,V,Washington,0,3,1,4,125,131,1.5,-185,6,100,6,-115
1104,20,H,Florida,2,2,0,5,-145,-143,-1.5,165,6,-120,6,-105
1104,21,V,Dallas,1,1,1,4,115,130,1.5,-190,5.5,-110,5.5,110
1104,22,H,Calgary,0,2,1,3,-135,-140,-1.5,170,5.5,-110,5.5,-130
1104,23,V,Buffalo,0,2,0,2,135,170,1.5,-145,5.5,-110,5.5,-110
